State,City,Time Zone
AK,Adak,America/Adak
AK,Aguikchuk,America/Nome
AK,Airport Heights,America/Anchorage
AK,Akhiok,America/Anchorage
AK,Akiachak,America/Anchorage
AK,Akiak,America/Anchorage
AK,Aklut,America/Nome
AK,Akulurak,America/Nome
AK,Akumsuk,America/Nome
AK,Akutan,America/Anchorage
AK,Alaganik,America/Anchorage
AK,Alakanuk,America/Nome
AK,Alatna,America/Anchorage
AK,Alcan,America/Anchorage
AK,Alcan Border,America/Anchorage
AK,Aleknagik,America/Anchorage
AK,Aleksashkina,America/Anchorage
AK,Aleneva,America/Anchorage
AK,Aleut Village,America/Anchorage
AK,Alexander,America/Anchorage
AK,Alexanders Village,America/Anchorage
AK,Allakaket,America/Anchorage
AK,Alpine,America/Anchorage
AK,Ambler,America/Anchorage
AK,Amchitka,America/Adak
AK,Anaktuvuk Pass,America/Anchorage
AK,Anchor Point,America/Anchorage
AK,Anchor Terrace,America/Anchorage
AK,Anchorage,America/Anchorage
AK,Anderson,America/Anchorage
AK,Angoon,America/Juneau
AK,Angun,America/Anchorage
AK,Aniak,America/Anchorage
AK,Annette,America/Metlakatla
AK,Anogok,America/Nome
AK,Anugnak,America/Anchorage
AK,Anvik,America/Anchorage
AK,Apokak,America/Nome
AK,Arctic Village,America/Anchorage
AK,Arolokovik,America/Nome
AK,Artesian Village,America/Anchorage
AK,Atka,America/Adak
AK,Atmautluak,America/Nome
AK,Atqasuk,America/Anchorage
AK,Attu Station,America/Adak
AK,Auke Bay,America/Juneau
AK,Aurora,America/Anchorage
AK,Aurora Lodge,America/Anchorage
AK,Badger,America/Anchorage
AK,Baker,America/Anchorage
AK,Baranof,America/Sitka
AK,Bartlett Cove,America/Juneau
AK,Basher,America/Anchorage
AK,Bear Creek,America/Anchorage
AK,Bearpaw,America/Anchorage
AK,Beaver,America/Anchorage
AK,Beaver Falls,America/Sitka
AK,Bell Island Hot Springs,America/Juneau
AK,Beluga,America/Anchorage
AK,Bessie No. 5 Dredge Camp,America/Nome
AK,Bethel,America/Anchorage
AK,Bettles,America/Anchorage
AK,Big Creek,America/Anchorage
AK,Big Delta,America/Anchorage
AK,Big Lake,America/Anchorage
AK,Bill Moores,America/Nome
AK,Biorka,America/Adak
AK,Birch Creek,America/Anchorage
AK,Birches,America/Anchorage
AK,Birchwood,America/Anchorage
AK,Bjerrmark,America/Anchorage
AK,Black,America/Nome
AK,Blanchard,America/Anchorage
AK,Blue Fox Bay,America/Anchorage
AK,Bluff,America/Anchorage
AK,Bornite,America/Anchorage
AK,Boswell Bay,America/Anchorage
AK,Boundary,America/Anchorage
AK,Brevig Mission,America/Nome
AK,Broadmoor,America/Anchorage
AK,Browerville,America/Anchorage
AK,Buckland,America/Anchorage
AK,Buffalo Soapstone,America/Anchorage
AK,Butte,America/Anchorage
AK,Cabin Creek,America/Juneau
AK,Campbell,America/Anchorage
AK,Candle,America/Anchorage
AK,Cannery,America/Juneau
AK,Cantwell,America/Anchorage
AK,Canyon Village,America/Anchorage
AK,Cap Spencer,America/Juneau
AK,Cape Fanshaw,America/Juneau
AK,Cape Nome,America/Nome
AK,Cape Pole,America/Juneau
AK,Cape Sarichef,America/Anchorage
AK,Cape Yakataga,America/Anchorage
AK,Carlanna,America/Sitka
AK,Caro,America/Anchorage
AK,Casadepaga,America/Nome
AK,Caswell,America/Anchorage
AK,Central,America/Anchorage
AK,Chakaktolik,America/Nome
AK,Chakwaktolik,America/Nome
AK,Chalkyitsik,America/Anchorage
AK,Chandalar,America/Anchorage
AK,Chaniliut,America/Nome
AK,Chariot,America/Nome
AK,Charley Village,America/Anchorage
AK,Charlieskin Village,America/Anchorage
AK,Chase,America/Anchorage
AK,Chatanika,America/Anchorage
AK,Chatham,America/Sitka
AK,Chefornak,America/Nome
AK,Chelatna Lodge,America/Anchorage
AK,Chena Hot Springs,America/Anchorage
AK,Chenega,America/Anchorage
AK,Chenega Bay,America/Anchorage
AK,Chernofski,America/Adak
AK,Chester,America/Anchorage
AK,Chevak,America/Nome
AK,Chicago Creek,America/Nome
AK,Chickaloon,America/Anchorage
AK,Chicken,America/Anchorage
AK,Chignik,America/Anchorage
AK,Chignik Lagoon,America/Anchorage
AK,Chignik Lake,America/Anchorage
AK,Chilkat,America/Juneau
AK,Chimekliak,America/Nome
AK,Chiniak,America/Anchorage
AK,Chisana,America/Anchorage
AK,Chistochina,America/Anchorage
AK,Chitina,America/Anchorage
AK,Christian,America/Anchorage
AK,Chuathbaluk,America/Anchorage
AK,Chugach Heights,America/Anchorage
AK,Chugiak,America/Anchorage
AK,Chulitna,America/Anchorage
AK,Chulloonawick,America/Nome
AK,Cinder River,America/Anchorage
AK,Circle,America/Anchorage
AK,Circle Hot Springs,America/Anchorage
AK,Circle Hot Springs Station,America/Anchorage
AK,City View,America/Anchorage
AK,Clam Gulch,America/Anchorage
AK,Clarks Point,America/Anchorage
AK,Clear,America/Anchorage
AK,Clear Creek Park,America/Anchorage
AK,Clover Pass,America/Sitka
AK,Coal Creek,America/Anchorage
AK,Coffman Cove,America/Juneau
AK,Cohoe,America/Anchorage
AK,Cold Bay,America/Anchorage
AK,Coldfoot,America/Anchorage
AK,College,America/Anchorage
AK,Colorado,America/Anchorage
AK,Cooper Landing,America/Anchorage
AK,Copper Center,America/Anchorage
AK,Copperville,America/Anchorage
AK,Cordova,America/Anchorage
AK,Cos Jacket,America/Anchorage
AK,Cottonwood,America/Anchorage
AK,Council,America/Nome
AK,Covenant Life,America/Juneau
AK,Craig,America/Juneau
AK,Crooked Creek,America/Anchorage
AK,Crown Point,America/Anchorage
AK,Crystal Falls,America/Anchorage
AK,Cube Cove,America/Juneau
AK,Curry,America/Anchorage
AK,Dahl (America/Anchorage),America/Anchorage
AK,Dahl (America/Nome),America/Nome
AK,Dahl Creek,America/Anchorage
AK,Dairy,America/Sitka
AK,Davidsons Landing,America/Nome
AK,Deacons Landing,America/Anchorage
AK,Deadhorse,America/Anchorage
AK,DeBarr Vista,America/Anchorage
AK,Deering,America/Nome
AK,Delta Junction,America/Anchorage
AK,Deltana,America/Anchorage
AK,Denali,America/Anchorage
AK,Denali National Park,America/Anchorage
AK,Denali Park,America/Anchorage
AK,Dennis Manor,America/Anchorage
AK,Diamond Ridge,America/Anchorage
AK,Difjakamiut,America/Nome
AK,Dillingham,America/Anchorage
AK,Dime Landing,America/Anchorage
AK,Diomede,America/Nome
AK,Discovery,America/Anchorage
AK,Dobson Landing,America/Juneau
AK,Dogfish Village,America/Anchorage
AK,Dogpatch,America/Anchorage
AK,Donnelly,America/Anchorage
AK,Dora Bay,America/Juneau
AK,Dot Lake,America/Anchorage
AK,Dot Lake Village,America/Anchorage
AK,Douglas,America/Juneau
AK,Doyhof,America/Sitka
AK,Drift River,America/Anchorage
AK,Dry Creek,America/Anchorage
AK,Duck Village,America/Anchorage
AK,Dutch Harbor,America/Anchorage
AK,Eagle,America/Anchorage
AK,Eagle River,America/Anchorage
AK,Eagle Village,America/Anchorage
AK,East Chester,America/Anchorage
AK,East Fork,America/Nome
AK,Edna Bay,America/Juneau
AK,Eek,America/Nome
AK,Egavik,America/Anchorage
AK,Egegik,America/Anchorage
AK,Egorkovskoi,America/Anchorage
AK,Eielson Air Force Base,America/Anchorage
AK,Eight Fathom Bight,America/Juneau
AK,Eklutna,America/Anchorage
AK,Ekuk,America/Anchorage
AK,Ekwok,America/Anchorage
AK,Elephant Point,America/Anchorage
AK,Elfin Cove,America/Juneau
AK,Elim,America/Nome
AK,Ellamar,America/Anchorage
AK,Elmendorf Air Force Base,America/Anchorage
AK,Emmonak,America/Nome
AK,Entrance Island,America/Juneau
AK,Eska,America/Anchorage
AK,Ester,America/Anchorage
AK,Eureka,America/Anchorage
AK,Eureka Roadhouse,America/Anchorage
AK,Evansville,America/Anchorage
AK,Excursion Inlet,America/Juneau
AK,Fairbanks,America/Anchorage
AK,Fairhaven,America/Juneau
AK,Fairview,America/Anchorage
AK,Falls,America/Anchorage
AK,False Pass,America/Anchorage
AK,Farewell,America/Anchorage
AK,Farm Loop,America/Anchorage
AK,Farmers Loop,America/Anchorage
AK,Ferry,America/Anchorage
AK,Fink Creek,America/Nome
AK,Fire Cove,America/Sitka
AK,Fish Lake,America/Anchorage
AK,Fish Village (America/Anchorage),America/Anchorage
AK,Fish Village (America/Nome),America/Nome
AK,Fishhook,America/Anchorage
AK,Flat,America/Anchorage
AK,Flume Creek,America/Anchorage
AK,Folger,America/Anchorage
AK,Fort Greely,America/Anchorage
AK,Fort Richardson,America/Anchorage
AK,Fort Yukon,America/Anchorage
AK,Four Mile Road,America/Anchorage
AK,Fox,America/Anchorage
AK,Fox River,America/Anchorage
AK,Fritz Creek,America/Anchorage
AK,Funny River,America/Anchorage
AK,Funter,America/Juneau
AK,Gakona,America/Anchorage
AK,Gakona Junction,America/Anchorage
AK,Galena,America/Anchorage
AK,Gambell,America/Nome
AK,Game Creek,America/Juneau
AK,Ganes Creek,America/Anchorage
AK,Garner,America/Anchorage
AK,Gateway,America/Anchorage
AK,Georgetown,America/Anchorage
AK,Gilpatricks,America/Anchorage
AK,Girdwood,America/Anchorage
AK,Glacier Creek,America/Anchorage
AK,Glacier View,America/Anchorage
AK,Glen Alps,America/Anchorage
AK,Glennallen,America/Anchorage
AK,Gold Creek,America/Anchorage
AK,Golden,America/Anchorage
AK,Golovin,America/Nome
AK,Goodnews Bay,America/Anchorage
AK,Goodnews Mining Camp,America/Anchorage
AK,Gost Creek,America/Anchorage
AK,Graehl,America/Anchorage
AK,Grandview Gardens,America/Anchorage
AK,Grant Creek,America/Anchorage
AK,Grayling,America/Anchorage
AK,Green Acres,America/Anchorage
AK,Gulkana,America/Anchorage
AK,Gustavus,America/Juneau
AK,Haines,America/Juneau
AK,Halibut Cove,America/Anchorage
AK,Hallersville,America/Anchorage
AK,Hamilton,America/Nome
AK,Hamilton Acres,America/Anchorage
AK,Happy Valley,America/Anchorage
AK,Harding Lake,America/Anchorage
AK,Harding-Birch Lakes,America/Anchorage
AK,Hawk Inlet,America/Juneau
AK,Haycock,America/Anchorage
AK,Healy,America/Anchorage
AK,Healy Lake,America/Anchorage
AK,Herendeen Bay,America/Anchorage
AK,Herring Cove,America/Sitka
AK,Hidden Falls,America/Sitka
AK,Highland Park,America/Anchorage
AK,Hillside,America/Anchorage
AK,Hobart Bay,America/Juneau
AK,Hogatza,America/Anchorage
AK,Holikachuk,America/Anchorage
AK,Hollis,America/Juneau
AK,Holy Cross,America/Anchorage
AK,Homer,America/Anchorage
AK,Homesite Park,America/Anchorage
AK,Hoonah,America/Juneau
AK,Hooper Bay,America/Nome
AK,Hope,America/Anchorage
AK,Houston,America/Anchorage
AK,Hughes,America/Anchorage
AK,Huslia,America/Anchorage
AK,Hydaburg,America/Juneau
AK,Hyder,America/Juneau
AK,Iditarod,America/Anchorage
AK,Igiayarok,America/Nome
AK,Igiugig,America/Anchorage
AK,Igushik,America/Anchorage
AK,Ikatan,America/Anchorage
AK,Ikpilgok,America/Anchorage
AK,Iliamna,America/Anchorage
AK,Indian,America/Anchorage
AK,Ingrihak,America/Nome
AK,Iniskin,America/Anchorage
AK,Iron Creek,America/Nome
AK,Isabel Pass,America/Anchorage
AK,Ivanof Bay,America/Anchorage
AK,Ivishak,America/Anchorage
AK,Jack Wade,America/Anchorage
AK,Jakolof Bay,America/Anchorage
AK,John Fitzgerald Kennedy City,America/Anchorage
AK,Johnnys Village,America/Nome
AK,Jonesville,America/Anchorage
AK,Juneau,America/Juneau
AK,Justamere Ranch,America/Anchorage
AK,Kachemak,America/Anchorage
AK,Kachemak City,America/Anchorage
AK,Kachemak Silo,America/Anchorage
AK,Kaguyak,America/Anchorage
AK,Kagvik Creek,America/Anchorage
AK,Kakamut,America/Anchorage
AK,Kake,America/Sitka
AK,Kako Landing,America/Anchorage
AK,Kaktovik,America/Anchorage
AK,Kalak,America/Nome
AK,Kalakaket Creek,America/Anchorage
AK,Kalifornsky,America/Anchorage
AK,Kallands,America/Anchorage
AK,Kalskag,America/Anchorage
AK,Kaltag,America/Anchorage
AK,Kanakanak,America/Anchorage
AK,Kanapak,America/Nome
AK,Kantishna,America/Anchorage
AK,Karluk,America/Anchorage
AK,Kasaan,America/Juneau
AK,Kashega,America/Anchorage
AK,Kashegelok,America/Anchorage
AK,Kashiagamiut,America/Anchorage
AK,Kasigluk,America/Nome
AK,Kasilof,America/Anchorage
AK,Kaskanak,America/Anchorage
AK,Kathakne,America/Anchorage
AK,Kavik,America/Anchorage
AK,Kavik River Camp,America/Anchorage
AK,Kazhutak,America/Nome
AK,Kechumstuk,America/Anchorage
AK,Kenai,America/Anchorage
AK,Kennicott,America/Anchorage
AK,Kenny Lake,America/Anchorage
AK,Kepangalook,America/Anchorage
AK,Ketchikan,America/Sitka
AK,Kiana,America/Anchorage
AK,Kinegnak,America/Anchorage
AK,King Cove,America/Nome
AK,King Salmon,America/Anchorage
AK,Kipnuk,America/Nome
AK,Kivalina,America/Nome
AK,Kizhuyak,America/Anchorage
AK,Klawock,America/Juneau
AK,Klery Creek,America/Anchorage
AK,Klikitarik,America/Anchorage
AK,Kluchevaya,America/Anchorage
AK,Klukwan,America/Juneau
AK,Klutchevya,America/Anchorage
AK,Knik,America/Anchorage
AK,Knik Heights,America/Anchorage
AK,Knik River,America/Anchorage
AK,Knik-Fairview,America/Anchorage
AK,Kobuk,America/Anchorage
AK,Kodiak,America/Anchorage
AK,Kodiak Station,America/Anchorage
AK,Koggiung,America/Anchorage
AK,Kokhanok,America/Anchorage
AK,Kokrines,America/Anchorage
AK,Kokruagarok,America/Anchorage
AK,Koliganek,America/Anchorage
AK,Kongiganak,America/Nome
AK,Kotlik,America/Nome
AK,Kotzebue,America/Nome
AK,Koyuk,America/Anchorage
AK,Koyukuk,America/Anchorage
AK,Kravaksarak,America/Nome
AK,Kukak,America/Anchorage
AK,Kulik Lodge,America/Anchorage
AK,Kulvagavik,America/Nome
AK,Kuparuk,America/Anchorage
AK,Kupreanof,America/Sitka
AK,Kuskovak,America/Nome
AK,Kustatan,America/Anchorage
AK,Kutmiut,America/Nome
AK,Kvichak,America/Anchorage
AK,Kwethluk,America/Anchorage
AK,Kwigillingok,America/Nome
AK,Kwigorlak,America/Nome
AK,Kwiguk,America/Nome
AK,Kwikak,America/Nome
AK,Kwikluak,America/Nome
AK,Labouchere Bay,America/Juneau
AK,Lagoon,America/Anchorage
AK,Lake Louise,America/Anchorage
AK,Lake Minchumina,America/Anchorage
AK,Lakes,America/Anchorage
AK,Lakeview,America/Anchorage
AK,Lamont,America/Nome
AK,Lange,America/Anchorage
AK,Larsen Bay,America/Anchorage
AK,Lawing,America/Anchorage
AK,Lawrence,America/Anchorage
AK,Lazy Mountain,America/Anchorage
AK,Lees Camp,America/Nome
AK,Lemeta,America/Anchorage
AK,Lemon Creek,America/Juneau
AK,Lena Beach,America/Juneau
AK,Levelock,America/Anchorage
AK,Libbyville,America/Anchorage
AK,Lignite,America/Anchorage
AK,Lime Village,America/Anchorage
AK,Lindale,America/Anchorage
AK,Lingo,America/Anchorage
AK,Little Port Walter,America/Sitka
AK,Livengood,America/Anchorage
AK,Long,America/Anchorage
AK,Long Island,America/Juneau
AK,Loring,America/Sitka
AK,Lost River,America/Nome
AK,Lowell Point,America/Anchorage
AK,Lower Kalskag,America/Anchorage
AK,Lower Tonsina,America/Anchorage
AK,Lucky Shot Landing,America/Anchorage
AK,Lutak,America/Juneau
AK,Makushin,America/Anchorage
AK,Manley Hot Springs,America/Anchorage
AK,Manokotak,America/Anchorage
AK,Mansfield Village,America/Anchorage
AK,Marguerite Bay,America/Sitka
AK,Marshall,America/Nome
AK,Marys Igloo,America/Nome
AK,Matanuska,America/Anchorage
AK,May Creek,America/Anchorage
AK,McCarthy,America/Anchorage
AK,McGrath,America/Anchorage
AK,Meadow Lakes,America/Anchorage
AK,Meakerville,America/Anchorage
AK,Medfra,America/Anchorage
AK,Mekoryuk,America/Nome
AK,Mellicks Trading Post,America/Anchorage
AK,Mendeltna,America/Anchorage
AK,Mendeltna Lodge,America/Anchorage
AK,Mendenhall Valley,America/Juneau
AK,Mendenhaven,America/Juneau
AK,Mentasta Lake,America/Anchorage
AK,Mertarvik,America/Nome
AK,Metlakatla,America/Metlakatla
AK,Meyers Chuck,America/Juneau
AK,Millers Landing,America/Anchorage
AK,Minto,America/Anchorage
